Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,11.89798969228254,11.932080831603967,11.318431220363054,11.386614799499512,8200,0.0,0
2017-02-07,11.420707554281668,11.727533053549436,11.216158088432348,11.454798698425293,10400,0.0,0
2017-02-08,11.591165395660195,11.863898438988747,11.591165395660195,11.625256538391113,7600,0.0,0
2017-02-09,11.5911647605599,11.897990230301598,11.5911647605599,11.693439483642578,23800,0.0,0
2017-02-10,11.897990550679674,11.897990550679674,11.693439798512703,11.76162338256836,7300,0.0,0
2017-02-13,11.352522873037875,11.850260812402263,10.807056816267815,11.693439483642578,56400,0.0,0
2017-02-14,11.079790437906349,11.897990867364618,10.466140766059514,11.82980728149414,16100,0.0,0
2017-02-15,11.1956989916882,11.863895084007982,11.1956989916882,11.795711517333984,7400,0.0,0
2017-02-16,11.120700069231143,11.897990867364618,11.059334971997085,11.82980728149414,15400,0.0,0
2017-02-17,11.96617317199707,12.068449201214232,11.829807300530408,11.96617317199707,14300,0.0,0
2017-02-21,11.693439769338987,11.727532211528608,10.704781704479627,11.079790115356445,56600,0.0,0
2017-02-22,11.182064164962032,11.182064164962032,10.738872847238225,10.807056427001953,32100,0.0,0
2017-02-23,10.841147872996423,10.841147872996423,10.432048333593759,10.602506637573242,15200,0.0,0
2017-02-24,10.547959577997313,10.841147406045982,10.46613967364093,10.772964477539062,11700,0.0,0
2017-02-27,11.011605018039488,11.045697455543456,10.466139022911163,10.568413734436035,23400,0.0,0
2017-02-28,10.67069005459521,10.738873639388483,10.397957015915834,10.500231742858887,26500,0.0,0
2017-03-01,10.704781519496605,10.772965102203912,10.17295178521885,10.636598587036133,18100,0.0,0
2017-03-02,10.920886665281113,10.920886665281113,10.24136514573887,10.712869644165039,16000,0.26,0
2017-03-03,10.248299126516915,10.574192456224424,9.98481097284573,10.296836853027344,29100,0.0,0
2017-03-06,10.158158452959356,10.158158452959356,9.8461332321167,9.8461332321167,11400,0.0,0
2017-03-07,9.70745517225111,9.915472201052928,9.70745517225111,9.811463356018066,22700,0.0,0
2017-03-08,9.811464131063046,10.054150794047231,9.707455939080086,9.915472984313965,18300,0.0,0
2017-03-09,9.915472201052928,10.019480384819886,9.70745517225111,9.811463356018066,25900,0.0,0
2017-03-10,10.955557147912538,10.955557147912538,10.019480809282605,10.366175651550293,27100,0.0,0
2017-03-13,10.92088666455499,10.92088666455499,9.950141447768367,10.054149627685547,75900,0.0,0
2017-03-14,10.054151603118166,10.78221098939067,10.01948198257795,10.248300552368164,30200,0.0,0
2017-03-15,10.296836198955843,10.608861398049198,10.296836198955843,10.539522171020508,26800,0.0,0
